grid_x,grid_y,foot_traffic,count,foot_count,x_5179,y_5179,geometry,lat,lon
36,43,0.2340427587963912,4,4324.177082748226,960338.9228871616,1944496.2931122007,POINT (127.05130281638513 37.498877197151636),37.498877197151636,127.05130281638513
36,44,0.2222403275291748,4,4106.1152077777315,960338.9228871616,1944596.2931122007,POINT (127.05129742299276 37.499778536213306),37.499778536213306,127.05129742299276
36,45,0.2220591917698513,4,4102.768541111517,960338.9228871616,1944696.2931122007,POINT (127.05129202936014 37.50067987513645),37.50067987513645,127.05129202936014
36,46,0.191185794581427,2,3532.351249522035,960338.9228871616,1944796.2931122007,POINT (127.0512866354873 37.50158121392106),37.50158121392106,127.0512866354873
36,47,0.1196572519934997,4,2210.78895803419,960338.9228871616,1944896.2931122007,POINT (127.05128124137418 37.50248255256713),37.50248255256713,127.05128124137418
36,48,0.3049316499479736,5,5633.921165904337,960338.9228871616,1944996.2931122007,POINT (127.0512758470208 37.50338389107466),37.50338389107466,127.0512758470208
36,49,0.6253402796630924,6,11553.795213083115,960338.9228871616,1945096.2931122007,POINT (127.05127045242716 37.50428522944365),37.50428522944365,127.05127045242716
36,50,0.3980560327107087,6,7354.4884838533435,960338.9228871616,1945196.2931122007,POINT (127.0512650575932 37.50518656767411),37.50518656767411,127.0512650575932
36,51,0.3345518238740095,6,6181.183888052508,960338.9228871616,1945296.2931122007,POINT (127.05125966251896 37.50608790576603),37.50608790576603,127.05125966251896
36,52,0.1578420021163401,4,2916.2909023831726,960338.9228871616,1945396.2931122007,POINT (127.05125426720438 37.50698924371938),37.50698924371938,127.05125426720438
36,53,0.0463675689258887,4,856.6878119331428,960338.9228871616,1945496.2931122007,POINT (127.05124887164949 37.507890581534205),37.507890581534205,127.05124887164949
36,54,0.0602416993883483,4,1113.0264284208235,960338.9228871616,1945596.2931122007,POINT (127.05124347585425 37.50879191921049),37.50879191921049,127.05124347585425
36,55,0.0214929437345217,3,397.1039104801771,960338.9228871616,1945696.2931122007,POINT (127.05123807981869 37.50969325674822),37.50969325674822,127.05123807981869
