geometry_wkt,building_area_total,building_count
"POLYGON ((957300 1948300, 957300 1948400, 957400 1948400, 957400 1948300, 957300 1948300))",0.0,0
"POLYGON ((957300 1948400, 957300 1948500, 957400 1948500, 957400 1948400, 957300 1948400))",0.0,0
"POLYGON ((957400 1946500, 957400 1946600, 957500 1946600, 957500 1946500, 957400 1946500))",0.0,0
"POLYGON ((957400 1946600, 957400 1946700, 957500 1946700, 957500 1946600, 957400 1946600))",0.0,0
"POLYGON ((957400 1946700, 957400 1946800, 957500 1946800, 957500 1946700, 957400 1946700))",0.0,0
"POLYGON ((957400 1946800, 957400 1946900, 957500 1946900, 957500 1946800, 957400 1946800))",961.86,0
"POLYGON ((957400 1946900, 957400 1947000, 957500 1947000, 957500 1946900, 957400 1946900))",332.09,0
"POLYGON ((957400 1947000, 957400 1947100, 957500 1947100, 957500 1947000, 957400 1947000))",0.0,0
"POLYGON ((957400 1947100, 957400 1947200, 957500 1947200, 957500 1947100, 957400 1947100))",0.0,0
"POLYGON ((957400 1947200, 957400 1947300, 957500 1947300, 957500 1947200, 957400 1947200))",739.67,0
"POLYGON ((957400 1947300, 957400 1947400, 957500 1947400, 957500 1947300, 957400 1947300))",779.09,0
"POLYGON ((957400 1947400, 957400 1947500, 957500 1947500, 957500 1947400, 957400 1947400))",0.0,0
"POLYGON ((957400 1947500, 957400 1947600, 957500 1947600, 957500 1947500, 957400 1947500))",0.0,0
"POLYGON ((957400 1947600, 957400 1947700, 957500 1947700, 957500 1947600, 957400 1947600))",0.0,0
"POLYGON ((957400 1947700, 957400 1947800, 957500 1947800, 957500 1947700, 957400 1947700))",0.0,0
"POLYGON ((957400 1947800, 957400 1947900, 957500 1947900, 957500 1947800, 957400 1947800))",0.0,0
"POLYGON ((957400 1947900, 957400 1948000, 957500 1948000, 957500 1947900, 957400 1947900))",0.0,0
"POLYGON ((957400 1948000, 957400 1948100, 957500 1948100, 957500 1948000, 957400 1948000))",0.0,0
"POLYGON ((957400 1948100, 957400 1948200, 957500 1948200, 957500 1948100, 957400 1948100))",0.0,0
"POLYGON ((957400 1948200, 957400 1948300, 957500 1948300, 957500 1948200, 957400 1948200))",0.0,0
"POLYGON ((957400 1948300, 957400 1948400, 957500 1948400, 957500 1948300, 957400 1948300))",0.0,0
"POLYGON ((957400 1948400, 957400 1948500, 957500 1948500, 957500 1948400, 957400 1948400))",0.0,0
"POLYGON ((957500 1946100, 957500 1946200, 957600 1946200, 957600 1946100, 957500 1946100))",0.0,0
"POLYGON ((957500 1946200, 957500 1946300, 957600 1946300, 957600 1946200, 957500 1946200))",0.0,0
"POLYGON ((957500 1946300, 957500 1946400, 957600 1946400, 957600 1946300, 957500 1946300))",568.56,0
"POLYGON ((957500 1946400, 957500 1946500, 957600 1946500, 957600 1946400, 957500 1946400))",648.41,0
"POLYGON ((957500 1946500, 957500 1946600, 957600 1946600, 957600 1946500, 957500 1946500))",290.84,0
"POLYGON ((957500 1946600, 957500 1946700, 957600 1946700, 957600 1946600, 957500 1946600))",229.65,1
"POLYGON ((957500 1946700, 957500 1946800, 957600 1946800, 957600 1946700, 957500 1946700))",176.75,0
"POLYGON ((957500 1946800, 957500 1946900, 957600 1946900, 957600 1946800, 957500 1946800))",499.8,2
"POLYGON ((957500 1946900, 957500 1947000, 957600 1947000, 957600 1946900, 957500 1946900))",215.02,4
"POLYGON ((957500 1947000, 957500 1947100, 957600 1947100, 957600 1947000, 957500 1947000))",206.15,3
"POLYGON ((957500 1947100, 957500 1947200, 957600 1947200, 957600 1947100, 957500 1947100))",606.87,0
"POLYGON ((957500 1947200, 957500 1947300, 957600 1947300, 957600 1947200, 957500 1947200))",782.27,0
"POLYGON ((957500 1947300, 957500 1947400, 957600 1947400, 957600 1947300, 957500 1947300))",1217.72,0
"POLYGON ((957500 1947400, 957500 1947500, 957600 1947500, 957600 1947400, 957500 1947400))",958.29,0
"POLYGON ((957500 1947500, 957500 1947600, 957600 1947600, 957600 1947500, 957500 1947500))",0.0,0
"POLYGON ((957500 1947600, 957500 1947700, 957600 1947700, 957600 1947600, 957500 1947600))",0.0,0
"POLYGON ((957500 1947700, 957500 1947800, 957600 1947800, 957600 1947700, 957500 1947700))",0.0,0
"POLYGON ((957500 1947800, 957500 1947900, 957600 1947900, 957600 1947800, 957500 1947800))",0.0,0
"POLYGON ((957500 1947900, 957500 1948000, 957600 1948000, 957600 1947900, 957500 1947900))",0.0,0
"POLYGON ((957500 1948000, 957500 1948100, 957600 1948100, 957600 1948000, 957500 1948000))",0.0,0
"POLYGON ((957500 1948100, 957500 1948200, 957600 1948200, 957600 1948100, 957500 1948100))",0.0,0
"POLYGON ((957500 1948200, 957500 1948300, 957600 1948300, 957600 1948200, 957500 1948200))",0.0,0
"POLYGON ((957500 1948300, 957500 1948400, 957600 1948400, 957600 1948300, 957500 1948300))",0.0,0
"POLYGON ((957500 1948400, 957500 1948500, 957600 1948500, 957600 1948400, 957500 1948400))",0.0,0
"POLYGON ((957500 1948500, 957500 1948600, 957600 1948600, 957600 1948500, 957500 1948500))",0.0,0
"POLYGON ((957600 1945800, 957600 1945900, 957700 1945900, 957700 1945800, 957600 1945800))",0.0,0
"POLYGON ((957600 1945900, 957600 1946000, 957700 1946000, 957700 1945900, 957600 1945900))",293.29,0
"POLYGON ((957600 1946000, 957600 1946100, 957700 1946100, 957700 1946000, 957600 1946000))",378.23,0
"POLYGON ((957600 1946100, 957600 1946200, 957700 1946200, 957700 1946100, 957600 1946100))",317.56,1
"POLYGON ((957600 1946200, 957600 1946300, 957700 1946300, 957700 1946200, 957600 1946200))",182.62,5
"POLYGON ((957600 1946300, 957600 1946400, 957700 1946400, 957700 1946300, 957600 1946300))",160.42,8
"POLYGON ((957600 1946400, 957600 1946500, 957700 1946500, 957700 1946400, 957600 1946400))",340.3,0
"POLYGON ((957600 1946500, 957600 1946600, 957700 1946600, 957700 1946500, 957600 1946500))",189.14,1
"POLYGON ((957600 1946600, 957600 1946700, 957700 1946700, 957700 1946600, 957600 1946600))",151.03,8
"POLYGON ((957600 1946700, 957600 1946800, 957700 1946800, 957700 1946700, 957600 1946700))",250.71,5
"POLYGON ((957600 1946800, 957600 1946900, 957700 1946900, 957700 1946800, 957600 1946800))",150.35,9
"POLYGON ((957600 1946900, 957600 1947000, 957700 1947000, 957700 1946900, 957600 1946900))",208.03,9
"POLYGON ((957600 1947000, 957600 1947100, 957700 1947100, 957700 1947000, 957600 1947000))",137.33,7
"POLYGON ((957600 1947100, 957600 1947200, 957700 1947200, 957700 1947100, 957600 1947100))",279.47,0
"POLYGON ((957600 1947200, 957600 1947300, 957700 1947300, 957700 1947200, 957600 1947200))",445.72,0
"POLYGON ((957600 1947300, 957600 1947400, 957700 1947400, 957700 1947300, 957600 1947300))",1404.1,0
"POLYGON ((957600 1947400, 957600 1947500, 957700 1947500, 957700 1947400, 957600 1947400))",1187.05,0
"POLYGON ((957600 1947500, 957600 1947600, 957700 1947600, 957700 1947500, 957600 1947500))",0.0,0
"POLYGON ((957600 1947600, 957600 1947700, 957700 1947700, 957700 1947600, 957600 1947600))",0.0,0
"POLYGON ((957600 1947700, 957600 1947800, 957700 1947800, 957700 1947700, 957600 1947700))",0.0,0
"POLYGON ((957600 1947800, 957600 1947900, 957700 1947900, 957700 1947800, 957600 1947800))",0.0,0
"POLYGON ((957600 1947900, 957600 1948000, 957700 1948000, 957700 1947900, 957600 1947900))",0.0,0
"POLYGON ((957600 1948000, 957600 1948100, 957700 1948100, 957700 1948000, 957600 1948000))",0.0,0
"POLYGON ((957600 1948100, 957600 1948200, 957700 1948200, 957700 1948100, 957600 1948100))",0.0,0
"POLYGON ((957600 1948200, 957600 1948300, 957700 1948300, 957700 1948200, 957600 1948200))",0.0,0
"POLYGON ((957600 1948300, 957600 1948400, 957700 1948400, 957700 1948300, 957600 1948300))",0.0,0
"POLYGON ((957600 1948400, 957600 1948500, 957700 1948500, 957700 1948400, 957600 1948400))",0.0,0
"POLYGON ((957600 1948500, 957600 1948600, 957700 1948600, 957700 1948500, 957600 1948500))",0.0,0
"POLYGON ((957600 1948600, 957600 1948700, 957700 1948700, 957700 1948600, 957600 1948600))",0.0,0
"POLYGON ((957700 1945500, 957700 1945600, 957800 1945600, 957800 1945500, 957700 1945500))",0.0,0
"POLYGON ((957700 1945600, 957700 1945700, 957800 1945700, 957800 1945600, 957700 1945600))",326.12,0
"POLYGON ((957700 1945700, 957700 1945800, 957800 1945800, 957800 1945700, 957700 1945700))",492.76,0
