역명,total_flow,X좌표,Y좌표
시립수서청소년센터,19655,127.089107,37.483863
시티프라디움더강남.라움아트센터,27194,127.0389267,37.50786276
신구중학교,46058,127.0332343,37.52673198
신논현역,7530,127.0259767,37.50195985
신논현역3번출구,18354,127.0258484,37.50507548
신논현역3번출구.교보타워사거리,33334,127.0241456,37.5057773
신논현역4번출구,17128,127.025813,37.504682
신논현역6번출구,53237,127.0257902,37.50235998
신분당선.강남역4번출구,31832,127.0295651,37.49453959
신사동교회,42360,127.030625,37.52069983
신사동주민센터.신사시장,7066,126.9178057,37.4855926
신사동진양빌딩앞,20972,126.9146116,37.48769406
신사시장.선한이웃교회,19271,126.914038,37.48452751
신사역,162136,127.020607,37.512972
신사역1번출구,98125,127.0217344,37.51685743
신사역3번출구,94764,127.0200788,37.51522892
신사역6번출구,18021,127.019435,37.517422
신사역8번출구.가로수길,105623,127.0221753,37.51743974
신사중학교,199114,127.0204991,37.52292774
신한은행데이터센터,21397,127.0436967,37.498146
씨네시티앞,86564,127.0375997,37.52289704
아가방빌딩.하나은행,73806,127.0387713,37.50164082
아크로힐스논현,16128,127.0396749,37.50922287
암센터정문,7008,127.0877106,37.48872808
암센터후문.장례식장,7467,127.0877033,37.48990617
압구정역3번출구,78586,127.028714,37.52600147
압구정역4번출구,100719,127.0281888,37.52573496
압구정중고등학교.현대아파트,23917,127.033683,37.52975875
압구정파출소,193279,127.0362763,37.52911151
양재역.종합복지관,104077,127.0361954,37.48471001
양재역4번출구,114815,127.03684,37.48506487
양재역말죽거리.강남베드로병원,75468,127.0379686,37.48525104
양재전화국,5931,127.0407893,37.48564556
양전초등학교,6675,127.070593,37.490243
언북중학교입구,46513,127.0308206,37.52029789
언주역2번출구.차병원사거리,60972,127.0333617,37.50795302
언주역3번출구,42657,127.0335056,37.50847832
언주역4번출구.차병원사거리,4881,127.0351434,37.50783691
언주역5번출구.차병원사거리,14712,127.0353225,37.50755772
역삼1동주민센터,3236,127.032341,37.496548
역삼2동주민센터.대림역삼아파트,33565,127.0459927,37.49624526
역삼2동주민센터.래미안그레이튼아파트,3951,127.0466349,37.49482692
역삼동개나리아파트,52849,127.0475962,37.49937887
역삼동성당.역삼자이아파트,30714,127.0437951,37.49987934
역삼럭키아파트.역삼월드메르디앙아파트,63575,127.0387195,37.49183877
역삼역.포스코타워역삼,77687,127.0335959,37.49948955
역삼역4번출구,65218,127.0347357,37.50042852
역삼역6번출구,101024,127.0363873,37.50154076
역삼역7번출구.GS타워,123113,127.0367662,37.5015046
역삼자이아파트,27181,127.0443197,37.49981037
역삼중학교.강남세브란스병원,72997,127.0476983,37.49471181
역삼청소년수련관.도곡1차아이파크,5024,127.0427156,37.49310435
역삼초등학교,44269,127.0341844,37.49421849
역삼e-편한세상아파트,67310,127.0512978,37.49925456
영동119안전센터,40174,127.0381007,37.52255572
영동2교,10840,127.0436209,37.48241061
영동고교앞,64555,127.0398933,37.52150355
영동교입구,63369,127.0554558,37.52228122
영동교입구.청담자이아파트,22846,127.0560023,37.52278378
영동농협풍림아이원아파트,39062,127.0563511,37.50219797
영동시장,17524,127.0234689,37.51185086
영동시장.논현역1번출구,38249,127.0224536,37.51133678
영동시장.논현역3번출구,37670,127.0223963,37.50934621
영동중앙교회,74705,127.0379751,37.49815395
영희초등학교,27296,127.0804871,37.49119143
영희초등학교정문,5913,127.0826658,37.49177024
영희초등학교후문,3793,127.0804796,37.49152003
예림당아트홀.신한은행전산센터,28559,127.0442962,37.49822236
우리은행청담지점.청담삼익아파트,38356,127.0568972,37.5210777
우성3차아파트,14708,127.0571827,37.48381873
우성6차아파트,17938,127.0551995,37.47754865
우성캐릭터빌아파트,20130,127.0508009,37.48700968
은곡마을,9013,127.0976382,37.46698614
은곡마을.강남신동아파밀리에,53759,127.102457,37.465026
은곡마을.LH이편한세상,35559,127.1025352,37.4653477
은곡마을진입로,7167,127.098702,37.46575763
은마아파트,148155,127.0628615,37.49559591
은마아파트입구사거리,119731,127.0600675,37.49872738
은마치안센터,50172,127.0615234,37.49809897
은천성결교회,3068,126.9214263,37.48832724
일원동한솔아파트,42478,127.0793139,37.48254453
일원본동주민센터,98767,127.0847498,37.48348852
일원역,17262,127.0837488,37.48427409
일원역7번출구,8670,127.0833077,37.48491143
일원주유소.삼성서울병원후문,50566,127.0876823,37.49065376
일원지구대,14335,127.0844467,37.49250248
일원초등학교,46572,127.0746897,37.48833877
일지아트홀,86817,127.0395012,37.52491181
일지아트홀.압구정노인복지관,93819,127.0396346,37.52431596
쟁골마을,29367,127.1050773,37.48188696
중대부고,44632,127.0550937,37.49188724
중대부고앞,16608,127.054525,37.492538
중동고등학교,20968,127.0800445,37.49288671
진선여자중고등학교,139980,127.0499655,37.5027442
차병원,94312,127.0344861,37.50553234
차병원차움,32625,127.0441711,37.52366667
청담2치안센터,44057,127.0482136,37.52302548
청담동래미안아파트,46274,127.042905,37.5176598
청담동성당,34101,127.0495735,37.5204992
청담동주민센터,281595,127.0493318,37.52461528
청담역.경기고교,189922,127.0561675,37.52098119
청담역7번출구,32923,127.0506188,37.51763565
청담초등학교,38962,127.0451221,37.52680283
청담초등학교앞,54571,127.0450857,37.52646133
총지사,138331,127.0404502,37.49632261
총회회관.휘문고입구,28582,127.066098,37.504156
코엑스동문,26415,127.0608776,37.51220759
코원에너지서비스,4551,127.0760972,37.49806976
태화기독교사회복지관,31402,127.0933528,37.48452821
펜트힐루논현.임피리얼팰리스호텔,31128,127.0351526,37.51354654
포스코건너편,105801,127.0554269,37.50668319
포스코빌딩,93539,127.0548888,37.50604938
포스코사거리,92112,127.056318,37.50782266
포스코사거리교차로,15529,127.0579067,37.50703217
포이초교,12940,127.0526852,37.47522068
푸른마을아파트앞,45344,127.0805834,37.48291292
풍양빌딩,9034,127.0488174,37.47738927
학동역,181560,127.0301679,37.51478423
학동역5번출구,52895,127.0301493,37.51357315
학동역6번출구,24673,127.0296321,37.51378055
학여울역,8053,127.071451,37.497144
한국무역센터.삼성역,104875,127.060899,37.508448
한국자산신탁.센터필드,59753,127.044247,37.502783
한국토지주택공사앞,50597,127.0426621,37.51319091
한남대교전망카페,47931,127.0156822,37.52455246
한별구립어린이집,59398,127.0549014,37.51041039
한신휴플러스6단지,8650,127.1039562,37.46897554
한아름아파트.사이룩스오피스텔,5698,127.1043696,37.48828832
한양아파트.압구정로데오역,259466,127.039579,37.52827
한티역,132945,127.0521475,37.4981161
한티역2번출구.서울강남고용노동지청,72577,127.053929,37.49677356
한티역3번출구.서울강남고용노동지청,102522,127.0541425,37.49644636
한티역6번출구,57357,127.05194,37.495722
한티역7번출구,100488,127.0514785,37.49600522
현대1차.우성3차아파트,16401,127.056549,37.482973
현대1차아파트,10716,127.05525,37.482287
현대아파트경남아파트,24849,127.0531174,37.48287456
호림박물관,123352,126.9183766,37.48272316
휘문고교사거리,34376,127.065214,37.504394
휘문중고등학교,97644,127.0618981,37.50396586
KT강남지사,91129,127.0419791,37.50475497
LH수서아파트,63016,127.105708,37.479078
LH이편한세상,17866,127.1018279,37.46663251
LPG가스충전소,17594,127.035844,37.490756
