STDR_YYQU_CD,TRDAR_CD_NM,TOT_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,lat,lon,snapped_geometry,geometry,snapped_lat,snapped_lon,grid_x,grid_y
20224,남부터미널역 1번,1562290.0,302273.0,195630.0,245206.0,307870.0,211416.0,299895.0,37.4942707138908,127.0180296317,POINT (957395.2172820931 1943999.7743054505),POINT (127.01802963169999 37.49427071389079),37.49427071389079,127.01802963169999,63509,18747
20224,삼성전자서울R&D,22101.0,3521.0,2328.0,5696.0,6467.0,2404.0,1685.0,37.4652141461168,127.022792821779,POINT (957799.934490612 1940773.9983913884),POINT (127.022792821779 37.46521414611679),37.46521414611679,127.022792821779,63511,18732
20224,서울시인재개발원,248246.0,44337.0,27782.0,44901.0,50751.0,37751.0,42725.0,37.480409259493,127.02017331177127,POINT (957576.8755604154 1942460.968986918),POINT (127.02017331177129 37.480409259492994),37.480409259492994,127.02017331177129,63510,18740
20224,한국상담대학원대학교,98858.0,20130.0,10593.0,15791.0,20331.0,14246.0,17766.0,37.4869210375182,127.023984387611,POINT (957917.4804383119 1943181.6971008636),POINT (127.02398438761101 37.4869210375182),37.4869210375182,127.02398438761101,63511,18743
20224,우면주공아파트,422249.0,68953.0,44022.0,71549.0,82322.0,53348.0,102056.0,37.4706631584568,127.024309284654,POINT (957937.0913650402 1941377.850057565),POINT (127.024309284654 37.470663158456794),37.470663158456794,127.024309284654,63512,18735
20224,한전아트센터,657687.0,101870.0,101532.0,115579.0,138990.0,93954.0,105763.0,37.4859288834084,127.028674147842,POINT (958331.5336295834 1943069.5381747843),POINT (127.02867414784198 37.485928883408405),37.485928883408405,127.02867414784198,63514,18742
20224,염곡동 구룡사,1740798.0,192127.0,243655.0,398764.0,341924.0,258274.0,306053.0,37.4711671855831,127.049211256477,POINT (960255.9946210764 1941512.794826581),POINT (127.0505257889629 37.47198213428384),37.47198213428384,127.0505257889629,63525,18735
20224,방아다리근린공원,73290.0,8940.0,10410.0,14990.0,12310.0,12250.0,14390.0,37.4780631111978,127.035210333045,POINT (958905.0731739816 1942194.0109500038),POINT (127.03521033304499 37.478063111197805),37.478063111197805,127.03521033304499,63517,18739
20224,바우뫼공원,261198.0,27947.0,39045.0,57011.0,52138.0,37274.0,47782.0,37.4746322840854,127.034471628479,POINT (958837.8776810485 1941813.7068028026),POINT (127.03447162847901 37.4746322840854),37.4746322840854,127.03447162847901,63517,18737
20224,양재역 8번,1969672.0,217158.0,300394.0,450908.0,343713.0,269046.0,388454.0,37.48293730825648,127.03607868964689,POINT (958949.2052747814 1942926.3374795835),POINT (127.03566861367717 37.48466582440277),37.48466582440277,127.03566861367717,63517,18742
20224,양재근린공원,399895.0,62321.0,60280.0,82781.0,76694.0,54891.0,62930.0,37.47170320889,127.042442355553,POINT (959541.0762437602 1941485.2920233607),POINT (127.042442355553 37.47170320889),37.47170320889,127.042442355553,63521,18735
20224,언남고등학교,181646.0,29615.0,26749.0,41593.0,37212.0,22896.0,23581.0,37.47277165017064,127.04287706622506,POINT (959580.0905332493 1941603.6414875386),POINT (127.04287706622506 37.47277165017064),37.47277165017064,127.04287706622506,63521,18736
20224,한남IC,381423.0,39769.0,81873.0,88797.0,71739.0,50941.0,48302.0,37.5217189711292,127.017737591358,POINT (957398.4997937465 1947051.2470012414),POINT (127.01788990906188 37.52177480988692),37.52177480988692,127.01788990906188,63508,18760
20224,법제교육센터,478762.0,54944.0,66623.0,110621.0,90998.0,72518.0,83060.0,37.4733814913215,127.045662954139,POINT (960010.3509104138 1941820.4236275125),POINT (127.047731118378 37.47474432390615),37.47474432390615,127.047731118378,63523,18737
20224,서울나래학교,41759.0,5190.0,558.0,6940.0,6891.0,7490.0,14688.0,37.4636084732083,127.051629767608,POINT (960349.1901196329 1940583.3310257187),POINT (127.051629767608 37.4636084732083),37.4636084732083,127.051629767608,63525,18731
20224,본마을노인복지센터,31559.0,4488.0,2995.0,5758.0,6359.0,4897.0,7061.0,37.45442996968099,127.05341257954989,POINT (960502.0233928801 1939564.2935666232),POINT (127.05341257954987 37.45442996968099),37.45442996968099,127.05341257954987,63526,18727
20224,논현역 7번,182211.0,12629.0,36394.0,43928.0,37102.0,23374.0,28783.0,37.5013928230852,127.024897142403,POINT (958091.814602946 1944820.0798741009),POINT (127.02586295559176 37.50169630975213),37.50169630975213,127.02586295559176,63512,18750
20224,언주역 8번,577145.0,26348.0,141808.0,165566.0,110123.0,67929.0,65370.0,37.5040418752758,127.02443998440756,POINT (957980.3193321142 1945085.9756985784),POINT (127.02458637387439 37.50408785258117),37.50408785258117,127.02458637387439,63512,18752
20224,신사은행나무공원,581834.0,48783.0,118055.0,155892.0,123867.0,61383.0,73853.0,37.520600216696,127.025913690945,POINT (958098.0469090479 1946910.703177483),POINT (127.0258142683506 37.520540091969835),37.520540091969835,127.0258142683506,63512,18760
20224,논현목련공원,211687.0,12791.0,54859.0,51241.0,41156.0,23865.0,27776.0,37.5108547748898,127.026747305762,POINT (958188.3338732665 1945825.210519876),POINT (127.0268977429021 37.5107602809793),37.5107602809793,127.0268977429021,63513,18755
20224,학동근린공원,396637.0,23467.0,87336.0,110264.0,80523.0,45949.0,49096.0,37.51550068824694,127.025218544837,POINT (958002.3354392438 1946393.6147666743),POINT (127.02476073752982 37.515875051115685),37.515875051115685,127.02476073752982,63512,18757
20224,국기원,488517.0,51224.0,183997.0,119879.0,67441.0,35653.0,30321.0,37.50199523828162,127.03028620611876,POINT (958461.318346734 1944840.8830501167),POINT (127.0300421091138 37.50190052108574),37.50190052108574,127.0300421091138,63515,18750
20224,논현초등학교,2683268.0,165104.0,635762.0,740219.0,507032.0,296508.0,338642.0,37.50844740939438,127.02621712772654,POINT (958118.5106749557 1945591.7149325646),POINT (127.02612101786893 37.50865253824944),37.50865253824944,127.02612101786893,63513,18754
20224,언북중학교,855214.0,65276.0,171820.0,233536.0,188385.0,95585.0,100611.0,37.519333389403,127.033184528594,POINT (958731.5441610746 1946819.3954645006),POINT (127.03298818414837 37.51974566900023),37.51974566900023,127.03298818414837,63516,18759
20224,역삼역 4번,648480.0,25355.0,159020.0,189321.0,129846.0,77205.0,67733.0,37.50051623860183,127.03515980477285,POINT (958916.4863877251 1944675.788496883),POINT (127.0352008308774 37.50043283759524),37.50043283759524,127.0352008308774,63517,18750
20224,신구중학교,110708.0,12748.0,19447.0,24371.0,22276.0,14671.0,17195.0,37.5271723736614,127.032237703544,POINT (958672.3027564328 1947693.389160051),POINT (127.03226862523888 37.527620609411116),37.527620609411116,127.03226862523888,63516,18763
20224,은광여고,90736.0,16741.0,12673.0,18506.0,16931.0,10438.0,15446.0,37.4885435962273,127.035369029997,POINT (958899.5796455969 1943409.8606879143),POINT (127.03508030000002 37.48902180000001),37.48902180000001,127.03508030000002,63517,18744
20224,언주역 3번,889633.0,82138.0,162872.0,225699.0,183949.0,110887.0,124087.0,37.5246016966122,127.029228557264,POINT (958389.9840709211 1947360.1355889547),POINT (127.02909242860555 37.5246041906022),37.5246041906022,127.02909242860555,63514,18762
20224,강남구청역 2번,297260.0,29635.0,54827.0,75246.0,61365.0,37829.0,38359.0,37.51688572790791,127.04066487688958,POINT (959408.9201887916 1946497.1997624373),POINT (127.04067124020735 37.51687166726537),37.51687166726537,127.04067124020735,63520,18758
20224,역삼월드메르디앙아파트,383530.0,53427.0,62415.0,83684.0,79100.0,49553.0,55355.0,37.49275575173191,127.03842866397513,POINT (959186.214769602 1943852.9933285988),POINT (127.0382979778525 37.49302864063513),37.49302864063513,127.0382979778525,63519,18746
