연번,자치구명,설치위치(도로명 주소),세부 위치,설치 장소 유형,수거 쓰레기 종류,lat1,lon1,snapped_geometry,geometry,lat,lng,grid_x,grid_y
4807,강남구,역삼로 315,SK뷰아파트상가 버스정류장(23-598),"정류소(버스,택시 등)",재활용쓰레기,37.5005551755633,127.050314621923,POINT (960258.0805810735 1944669.5590472873),POINT (127.0503788857456 37.500435433099696),37.500435433099696,127.0503788857456,63525,18750
4808,강남구,역삼로 541,"휘문중,고교 앞 버스정류장(23-249)","정류소(버스,택시 등)",일반쓰레기,37.5052894535671,127.061993880621,POINT (961286.8164070054 1945172.7813323138),POINT (127.0619907 37.5050149),37.5050149,127.0619907,63530,18752
4809,강남구,역삼로 541,"휘문중,고교 앞 버스정류장(23-249)","정류소(버스,택시 등)",재활용쓰레기,37.5052894535671,127.061993880621,POINT (961286.8164070054 1945172.7813323138),POINT (127.0619907 37.5050149),37.5050149,127.0619907,63530,18752
4810,강남구,역삼로 538,매머드커피숍 앞 버스정류장(23-248),"정류소(버스,택시 등)",일반쓰레기,37.5039370254389,127.061858631025,POINT (961268.7783180024 1945067.8590190369),POINT (127.06179214626529 37.50406843678611),37.50406843678611,127.06179214626529,63530,18752
4811,강남구,역삼로 538,매머드커피숍 앞 버스정류장(23-248),"정류소(버스,택시 등)",재활용쓰레기,37.5039370254389,127.061858631025,POINT (961268.7783180024 1945067.8590190369),POINT (127.06179214626529 37.50406843678611),37.50406843678611,127.06179214626529,63530,18752
4812,강남구,삼성로 352,(역삼로)창진빌딩 앞,도로변(횡단보도 포함),일반쓰레기,37.5030433027391,127.059072270556,POINT (961022.0803057064 1944969.6092150088),POINT (127.05900627132965 37.503172485685866),37.503172485685866,127.05900627132965,63529,18751
4813,강남구,삼성로 352,(역삼로)창진빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.5030433027391,127.059072270556,POINT (961022.0803057064 1944969.6092150088),POINT (127.05900627132965 37.503172485685866),37.503172485685866,127.05900627132965,63529,18751
4814,강남구,도곡로 531,대치빌딩 앞,도로변(횡단보도 포함),일반쓰레기,37.5003237649497,127.064475155955,POINT (961512.6403928595 1944630.5430178628),POINT (127.06457403762627 37.50013693438597),37.50013693438597,127.06457403762627,63532,18750
4815,강남구,도곡로 531,대치빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.5003237649497,127.064475155955,POINT (961512.6403928595 1944630.5430178628),POINT (127.06457403762627 37.50013693438597),37.50013693438597,127.06457403762627,63532,18750
4816,강남구,도곡로 449,줌바댄스학원 앞,도로변(횡단보도 포함),일반쓰레기,37.4988301355807,127.059558169501,POINT (961080.9925821587 1944457.0922265244),POINT (127.05969991001628 37.49855545216923),37.49855545216923,127.05969991001628,63529,18749
4817,강남구,도곡로 449,줌바댄스학원 앞,도로변(횡단보도 포함),재활용쓰레기,37.4988301355807,127.059558169501,POINT (961080.9925821587 1944457.0922265244),POINT (127.05969991001628 37.49855545216923),37.49855545216923,127.05969991001628,63529,18749
4818,강남구,도곡로 421,공영주차장입구,도로변(횡단보도 포함),일반쓰레기,37.4976796348069,127.056450554241,POINT (960799.820119693 1944344.9203339478),POINT (127.05652500444103 37.4975325035688),37.4975325035688,127.05652500444103,63528,18748
4819,강남구,도곡로 421,공영주차장입구,도로변(횡단보도 포함),재활용쓰레기,37.4976796348069,127.056450554241,POINT (960799.820119693 1944344.9203339478),POINT (127.05652500444103 37.4975325035688),37.4975325035688,127.05652500444103,63528,18748
4820,강남구,도곡로 407,까사미야매장 앞,도로변(횡단보도 포함),일반쓰레기,37.4973132590056,127.054978583032,POINT (960673.7352057308 1944294.4711388524),POINT (127.05510133198896 37.497072421630484),37.497072421630484,127.05510133198896,63527,18748
4821,강남구,도곡로 407,까사미야매장 앞,도로변(횡단보도 포함),재활용쓰레기,37.4973132590056,127.054978583032,POINT (960673.7352057308 1944294.4711388524),POINT (127.05510133198896 37.497072421630484),37.497072421630484,127.05510133198896,63527,18748
4822,강남구,도곡로 418,강원빌딩 앞,도로변(횡단보도 포함),일반쓰레기,37.4969569438366,127.056248492743,POINT (960760.1945091613 1944318.3331064652),POINT (127.05607814741232 37.49729117857845),37.49729117857845,127.05607814741232,63528,18748
4823,강남구,도곡로 418,강원빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.4969569438366,127.056248492743,POINT (960760.1945091613 1944318.3331064652),POINT (127.05607814741232 37.49729117857845),37.49729117857845,127.05607814741232,63528,18748
4824,강남구,도곡로 440,청운빌딩 앞,도로변(횡단보도 포함),일반쓰레기,37.4978879640491,127.058636219242,POINT (960978.1571295513 1944404.940094208),POINT (127.05853930668252 37.49808104225843),37.49808104225843,127.05853930668252,63529,18749
4825,강남구,도곡로 440,청운빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.4978879640491,127.058636219242,POINT (960978.1571295513 1944404.940094208),POINT (127.05853930668252 37.49808104225843),37.49808104225843,127.05853930668252,63529,18749
4826,강남구,도곡로 458,정일빌딩 앞,도로변(횡단보도 포함),일반쓰레기,37.4983399836131,127.060454108584,POINT (961133.465212809 1944467.5870950064),POINT (127.0602929748201 37.498652257684114),37.498652257684114,127.0602929748201,63530,18749
4827,강남구,도곡로 458,정일빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.4983399836131,127.060454108584,POINT (961133.465212809 1944467.5870950064),POINT (127.0602929748201 37.498652257684114),37.498652257684114,127.0602929748201,63530,18749
4828,강남구,도곡로 504,샤보텐매장 앞,도로변(횡단보도 포함),일반쓰레기,37.4988080886838,127.061612278924,POINT (961240.273002133 1944510.1923097707),POINT (127.06149904055941 37.499040767048186),37.499040767048186,127.06149904055941,63530,18749
4829,강남구,도곡로 504,샤보텐매장 앞,도로변(횡단보도 포함),재활용쓰레기,37.4988080886838,127.061612278924,POINT (961240.273002133 1944510.1923097707),POINT (127.06149904055941 37.499040767048186),37.499040767048186,127.06149904055941,63530,18749
