index,grid_id,place_id,name,category,lat,lon
1177,130,24009155,카페아르티코,카페,37.51975063,127.0210674
1189,131,17944608,예술만세,문화시설,37.52070212,127.0209138
1209,131,675576738,유니드마이요거트 신사점,카페,37.52072018,127.0207011
1211,132,10107269,CU 신사드림점,편의점,37.52199252,127.019973
1219,132,17302398,리브라이브,문화시설,37.52213294,127.0207332
1221,132,1104467407,인딕슬로우,음식점,37.52185911,127.0203485
1222,132,119258632,패티앤베지스 타번,음식점,37.52200239,127.020215
1223,132,8016418,와라쿠,음식점,37.52210772,127.0207241
1224,132,1243908002,르오뇽,음식점,37.521787,127.0205295
1225,132,1814907897,신사참숯불고기,음식점,37.52222313,127.0202445
1227,132,988561605,면육당,음식점,37.52171933,127.0210193
1228,132,1459924300,핀치브런치바,음식점,37.52149506,127.0205826
1230,132,1315657373,테보,음식점,37.52196361,127.0204413
1231,132,181729475,퍼시픽스탠다드,음식점,37.52177434,127.0207919
1232,132,1274715882,라이스투미츄,음식점,37.52189875,127.0203338
1234,132,1537857524,가주치킨,음식점,37.521504,127.0209955
1236,132,1402769802,팬더룸,음식점,37.52152022,127.021
1239,132,353519471,빈터커피 신사점,카페,37.52166544,127.0200622
1240,132,17357574,스티머스커피팩토리,카페,37.52199252,127.019973
1241,132,1436126257,먼스미티,카페,37.5215491,127.0207014
1242,132,1181141443,맘껏,카페,37.5215067,127.0210022
1243,132,1529235448,카페4길25,카페,37.52144817,127.0207918
1244,132,951388793,바네,카페,37.52177979,127.0205295
1245,132,1577155694,더블크러플 유니온,카페,37.521504,127.0209955
1246,132,23104687,마깡띤느,카페,37.52204292,127.0203078
1270,133,476435584,온기정,음식점,37.52219779,127.020878
1272,133,14091104,산호,음식점,37.52232402,127.0203848
1273,133,1850423175,르포트13,음식점,37.52233289,127.0211654
1274,133,8669196,구스테이크528,음식점,37.52274746,127.020532
1278,133,233433419,삐아프,음식점,37.52235102,127.0205206
1279,133,888714552,원조마포소금구이 강남점,음식점,37.52290056,127.0209732
1280,133,1779951951,챕터원,음식점,37.52270682,127.0211123
1284,133,60214005,분식하우스,음식점,37.52260594,127.020903
1285,133,1230617192,오토김밥 신사직영점,음식점,37.52285826,127.0206655
1287,133,21356003,합 신사점,음식점,37.52224288,127.0206563
1288,133,427537425,HON 스키야키 신사점 ( HON 528 ),음식점,37.52287356,127.0207809
1289,133,856670083,블그레,음식점,37.52248428,127.0210251
1290,133,1041235389,스시칸,음식점,37.52288891,127.0205999
1293,133,553555390,브리온,음식점,37.52300693,127.0206339
1297,133,20355094,카페포엠 가로수길점,카페,37.52227075,127.0210126
1298,133,1232782573,카페트리타,카페,37.52206081,127.0210386
1300,133,628995912,마카롱쿠튀르,카페,37.5223456,127.0206246
1301,133,209318672,카페 씨잌,카페,37.52248609,127.0210184
1303,133,487517180,525신사,카페,37.52231677,127.0206111
1304,133,114307483,더스테어스,카페,37.52248609,127.0210229
1308,133,1567595359,가로수길약국,약국,37.52288083,127.0204449
1328,134,19808177,화인푸드,음식점,37.52300869,127.0209099
1329,134,1586896781,투썸플레이스 신사세로수길점,카페,37.52322759,127.0211306
1333,135,7969050,신사중학교,학교,37.52464851,127.0209239
1387,139,1154664376,세븐일레븐 한강르네상스잠원1호점,편의점,37.52836973,127.020486
1389,139,679037517,땅땅치킨 한강르네상스 잠원1호점,음식점,37.52836072,127.0204657
1398,151,606928302,논현역 신분당선,지하철역,37.51041252,127.0216789
1407,151,1285514239,모우리한우,음식점,37.51003392,127.0226255
1408,151,26484597,써브웨이 논현역점,음식점,37.50959351,127.0216368
1409,151,535789047,더바른정육식당 논현점,음식점,37.50977981,127.0227623
1410,151,12341696,파리바게뜨 강남영동점,음식점,37.50958526,127.0224263
1411,151,1463898638,서울생막고기,음식점,37.51005014,127.0225927
1412,151,49095933,스타벅스 논현역사거리점,카페,37.5101241,127.0221867
1413,151,96946689,로찌커피 논현점,카페,37.50968072,127.0226344
1414,151,745973907,다아는커피 본점,카페,37.51000694,127.0223382
1415,151,143097103,KT롤스터카페,카페,37.51037547,127.022241
1435,152,621367004,GS25 논현역5점,편의점,37.51053876,127.0211372
